,station_id,lat,lng
175,1204.0,41.977894,-87.756315
176,1205.0,41.980931,-87.761302
177,1206.0,41.983559,-87.76577
178,1207.0,41.985467,-87.769583
179,1208.0,41.992794,-87.765586
180,1209.0,41.991496,-87.754447
181,1210.0,41.995567,-87.74864
182,1211.0,41.990159,-87.747183
183,1212.0,41.98986,-87.742921
184,1213.0,41.98993,-87.737967
185,1214.0,41.995191,-87.728989
186,1215.0,41.993947,-87.725095
187,1216.0,41.995652,-87.716328
188,1217.0,41.99346,-87.712734
189,1218.0,41.990093,-87.718753
190,1219.0,41.987024,-87.71397
191,1220.0,41.982741,-87.737548
192,1221.0,41.985797,-87.728336
193,1222.0,41.982873,-87.719594
194,1223.0,41.967989,-87.743049
195,1224.0,41.970024,-87.74341
196,1225.0,41.972642,-87.739239
197,1226.0,41.96842,-87.72446
198,1227.0,41.968214,-87.719541
199,1228.0,41.77391,-87.79348
200,1229.0,41.792212,-87.797662
201,1230.0,41.792309,-87.792879
202,1231.0,41.792142,-87.785406
203,1232.0,41.7950917015,-87.7905260925
204,1233.0,41.797981,-87.773241
205,1234.0,41.799981,-87.759999
206,1235.0,41.79668,-87.75516
207,1236.0,41.795696,-87.763475
208,1237.0,41.79456,-87.77092
209,1239.0,41.77707,-87.76664
210,1240.0,41.778132,-87.763036
211,1241.0,41.78495,-87.8011
212,1242.0,41.77643,-87.742389
213,1243.0,41.757154,-87.741409
214,1245.0,41.764838934,-87.684382081
215,1248.0,41.764423394,-87.6979266155
216,1252.0,41.7642472835,-87.7017788655
217,1254.0,41.764196,-87.720111
218,1256.0,41.749649,-87.721001
219,1257.0,41.7493,-87.73958
220,1259.0,41.742067,-87.731554
221,1260.0,41.739387,-87.721373
222,1261.0,41.742037773,-87.709629297
223,1264.0,41.749855,-87.707507
224,1266.0,41.73569,-87.692172
225,1269.0,41.750806,-87.682722
226,1271.0,41.743749980000004,-87.682864
227,1273.0,41.739304,-87.669085
228,1274.0,41.736011833333336,-87.67266558333333
229,1275.0,41.9919,-87.79916
230,1276.0,41.98929,-87.71182
231,1277.0,41.97871,-87.75552
232,1278.0,41.78878,-87.77964
233,1279.0,41.75486,-87.72364
234,1280.0,41.95828,-87.78745
235,1281.0,41.95904,-87.78966
236,1284.0,41.97871,-87.75552
237,13001,41.8839840647265,-87.6246839761734
238,13006,41.882664,-87.63253
239,13008,41.8810317,-87.62408432
240,13011,41.879255,-87.639904
241,13016,41.89434513742426,-87.62279838323593
242,13017,41.896746973093805,-87.63566762208939
243,13021,41.885637,-87.641823
244,13022,41.892278,-87.612043
245,13028,41.874754,-87.649807
246,13029,41.865312,-87.617867
247,13033,41.891578,-87.648384
248,13034,41.89766,-87.62351
249,13036,41.882134,-87.625125
250,13037,41.875885,-87.640795
251,13042,41.90096039,-87.62377664
252,13045,41.893992,-87.629318
253,13050,41.88937546663168,-87.62707650661469
254,13053,41.88318130597391,-87.64872461557388
255,13056,41.88169,-87.63953
256,13058,41.9105780349,-87.6494219288
